,title,runner,platform,release_date,minutes
0,Ape Escape 2,iongravirei,PS2,2002-07-18,60.0
1,The Legend of Zelda: Ocarina of Time 3D,benstephens56,3DS,1998-11-21,120.0
2,Borderlands 2,"Shockwve, Amyrlinn",PC,2012-09-18,120.0
3,Psychonauts,demoli,PC,2005-04-19,57.0
4,Shovel Knight,"Smaugy, MunchaKoopas",PC,2014-06-26,52.0
5,Mega Man,"WhiteHat94, Endy, dxtr, coolkid",NES,1987-12-17,25.0
6,Super Mario Kart,"KVD, Sami Cetin",SNES,1992-08-27,32.0
7,Quake,coolkid,PC,1996-07-23,20.0
8,Metal Gear Solid 2: Sons of Liberty,Jaguar King,PS2,2001-11-13,100.0
9,Devil May Cry,Maxylobes,PS2,2001-10-16,65.0
10,Resident Evil Zero HD Remaster,Pessimism,PC,2002-11-10,76.0
11,Silent Hill 4: The Room,AnEternalEnigma,PS2,2004-09-07,75.0
12,F.E.A.R. Extraction Point,Overfiendvip,PC,2006-10-24,48.0
13,Hitman: Blood Money,Saintmillion,PC,2006-05-26,38.0
14,The Turing Test,Azorae,PC,2016-08-30,45.0
15,Hyper Princess Pitch,"WanderingMind, MBM",PC,,15.0
16,Hydra Castle Labyrinth,ForOhFor,PC,,35.0
17,Kalimba,DevilSquirrel,PC,2014-12-17,20.0
18,New Super Hook Girl,bjw,PC,,10.0
19,Valdis Story: Abyssal City,RiskyCB,PC,2013-09-30,45.0
20,SEUM: Speedrunners from Hell,MattyIce3131,PC,2016-07-28,25.0
21,Salt and Sanctuary,Grimelios,PC,2016-03-15,42.0
22,Magic Sword,"Pro_JN, yelsraek",SNES,1990-12-31,28.0
23,Joe and Mac 2,dram55,SNES,1994-02-18,26.0
24,Congo's Caper,Omnigamer,SNES,1992-12-18,25.0
25,Batman: Return of the Joker,Toad22484,NES,1991-12-20,20.0
26,Sunset Riders,Gusmancini,SNES,1991-09-04,24.0
27,Super Bomberman,Crak Atak,SNES,1993-04-28,20.0
28,Smart Ball,giygasblues,SNES,1991-09-13,25.0
29,Mario Paint,DoDeChehedron,SNES,1992-07-14,6.0
30,Battle Clash,SCXCR,SNES,1992-10-01,26.0
31,Sega Bass Fishing,Fuzzyness,Dreamcast,1997-12-31,12.0
32,Super Monkey Ball 2,Peanut,GameCube,2002-08-25,40.0
33,Super Monkey Ball Adventure,Pokehero,GameCube,2006-08-01,20.0
34,Luigi's Mansion,Snap32,GameCube,2001-11-17,77.0
35,Pokemon Emerald,TheTyrant14,GBA,2004-09-16,180.0
36,Tetris with Cardcaptor Sakura: Eternal Heart,"KevinDDR, EnchantressOfNumbers",PS1,2000-08-10,25.0
37,Blaster Master,"Skavenger216, ShiningDragoon",NES,1988-06-17,39.0
38,Ninja Gaiden,"dxtr, Gusmancini",NES,1988-07-28,20.0
39,Ninja Gaiden II: The Dark Sword of Chaos,Gusmancini,360,1990-04-06,19.0
40,Sparkster,Drakodan,Genesis,1994-09-15,25.0
41,Decap Attack,cook,Genesis,1990-12-15,35.0
42,Adventure Island 4,puchiedarcy,NES,1994-06-24,30.0
43,Adventure Island 2 (GB),Ppotdot1,GB,1991-02-15,28.0
44,Shippuu! Iron Leaguer,Neerrm,GB,1994-03-11,20.0
45,Mickey's Dangerous Chase,Adefgames,GB,1991-05-15,18.0
46,Fortified Zone,CuteFluffyBunny,GB,1991-02-26,15.0
47,Jazz Jackrabbit,CapnClever,DOS,2002-12-22,35.0
48,Jumping Flash! 2,TonyOgbot,PS1,1996-04-26,30.0
49,Intelligent Qube (Kurushi),CaneofPacci,PS1,1997-09-30,30.0
50,LittleBigPlanet 3,RbdJellyfish,PS4,2014-11-18,60.0
51,Road Trip Adventure,Konasumi,PS2,2002-10-22,30.0
52,Pac-Man World,Joester98,PS1,1999-11-02,40.0
53,Mega Man Legends,BlueMetal,PS1,1998-08-31,58.0
54,Katamari Damacy,sunkir,PS2,2004-03-18,34.0
55,Super Smash Bros. Melee,Fuzzyness,GameCube,2001-11-21,55.0
56,Metroid Prime 2: Echoes,Miles,GameCube,2004-11-16,110.0
57,Dark Messiah of Might and Magic,Razgrillz,PC,2006-10-25,45.0
58,Fallout: New Vegas,progamingwithed,PC,2010-10-19,30.0
59,System Shock 2,M1_Account,PC,1999-08-11,17.0
60,Descent II,SpootyBiscuit,PC,1996-03-13,55.0
61,Daikatana,Cubeface,N64,2000-11-30,55.0
